Neighborhood,Latitude,Longitude
Dairy Flat,-36.73486437014633,174.7145005055453
Dome Forest,-36.35818999999998,174.6101900000001
Dome Valley,-36.87815180571248,174.75704010331867
Glorit,-36.84829999999994,174.77307000000008
Gulf Harbour,-36.84435324228855,174.7499569066396
Hatfields Beach,-36.71790854565445,174.69545339617298
Helensville,-36.86559999999997,174.76857000000007
Huapai,-36.91167996121183,174.78514005652866
Kaipara Flats,-36.51818999999995,174.40019000000007
Kaukapakapa,-36.61818999999997,174.53019000000006
Kumeu,-36.84839904099994,174.76438785300002
Leigh,-36.28332999999998,174.81667000000004
Mahurangi East,-36.48332999999997,174.73333000000002
Mahurangi West,-36.48332999999997,174.73333000000002
Mangakura,-38.08821999999998,174.86020000000008
Manly,-36.711393538055376,174.75047924157948
Makarau,-36.84839904099994,174.76438785300002
Matakana,-38.218219999999974,175.0802000000001
Matakatia,-36.61818999999997,174.77019000000007
Millwater,-36.84839904099994,174.76438785300002
Muriwai,-36.77303732965296,174.77247534624837
Omaha,-36.87666495883682,174.76917010022754
Orewa,-36.56666999999993,174.70000000000005
Parakai,-37.148199999999974,175.5602100000001
Pakiri,-38.428229999999985,176.88021000000003
Point Wells,-36.31818999999996,174.7501900000001
Port Albert,-36.98088409652036,174.87839194195243
Puhoi,-36.84839904099994,174.76438785300002
Red Beach,-36.71380999999997,174.7485600000001
Redvale,-36.683329999999955,174.70000000000005
Riverhead,-36.9081860920609,174.86573196983042
Sandspit,-36.909658358019136,174.9462776882347
Shelly Beach,-36.84534995902578,174.74130010453112
Silverdale,-36.84839904099994,174.76438785300002
Snells Beach,-36.92095495617062,174.87596510205228
South Head,-34.998179999999934,173.7601800000001
Stanmore Bay,-36.60818999999998,174.7301900000001
Tarapora,-36.84839904099994,174.76438785300002
Tauhoa,-36.84839904099994,174.76438785300002
Taupaki,-38.34821999999997,175.71021000000007
Tawharanui Peninsula,-36.36818999999997,174.82019000000003
Te Arai,-35.11817999999994,173.55018000000007
Te Hana,-36.8995265919154,174.85817859115107
Ti Point,-36.31818999999996,174.79019000000005
Tindalls Beach,-36.96655371970393,174.8807469492277
Tomarata,-36.18818999999996,174.65019000000007
Waimauku,-36.84839904099994,174.76438785300002
Wainui,-36.86131400264293,174.70730423331207
Waitoki,-36.89051711199278,174.6429484909969
Waiwera,-36.549999999999955,174.71667000000002
Warkworth,-36.42818999999997,174.64019000000008
Whangaparaoa,-36.23332999999997,175.4000000000001
Whangaripo,-34.92817999999994,173.58018000000004
Whangateau,-36.31818999999996,174.76019000000008
Wharehine,-36.27818999999994,174.42019000000005
Wellsford,-36.86033999999995,174.75200000000007
Woodhill Forest,-36.52818999999994,174.21018000000004
Jafa (includes discussion of some suburb-based Auckland stereotypes),-36.84839904099994,174.76438785300002
